Birdd, Donald L.
Brusco, Michael J.
Chen, Chun‐Houh
Corsi, Alessandro
Dixon, Keith
Fisher, Larry W.
Fogel, Fajwel
Frumkin, Jesse
Ganguly, Kumkum
Golledge, R. G.
Gupta, Ayushi
Hancock, Edwin R.
Helgason, Cheryl D.
Hoffman, Brad G.
Hubert, Lawrence J.
Jaeger, Markus
Kelsey, Linda J.
Krügel, Stephan
Kuzara, Richard S.
Lee, Yun‐Shien
Marra, Marco A.
Mead, George R.
Megirian, Dirk
Miklós, István
Morozov, Vyacheslav
Morozova, Olena
Murray, Peter
Papenbrock, Jochen
Patel, Chaya
Patra, Biranchi N.
Perry, Bruce
Petropoulos, George P.
Podani, János
Prideaux, Gavin J.
Ray, Animesh
Richardson, G. D.
Riminucci, Mara
Robles‐Kelly, Antonio
Schmid, Molly B.
Schwendner, Peter
Sevold, Anthony
Singh, Prachi
Smit, Neil
Somodi, Imelda
Srivastava, Prashant K.
Stahl, Stephanie
Tien, Yin-Jing
Tzeng, ShengLi
Vojnović, Milan
Wavering, Michael J.
Wu, Hanming
Yoon, Stephanie
d’Aspremont, Alexandre
