0.00,0.40,0.49,0.81,0.18,0.77,0.09,0.70,0.51,0.26,0.75,0.17,0.16,0.59,0.18,0.63,0.11,0.13,0.09,0.08,0.79,0.03,0.16,0.02,0.13,0.46,0.18,0.79,0.07,0.43,0.26,0.65,0.57,0.62,0.30,0.11,0.15,0.45,0.06,0.82
0.40,0.00,0.09,0.41,0.22,0.37,0.31,0.30,0.11,0.14,0.35,0.57,0.25,0.19,0.58,0.23,0.51,0.27,0.31,0.48,0.39,0.43,0.56,0.42,0.53,0.06,0.22,0.39,0.33,0.03,0.14,0.25,0.17,0.22,0.10,0.51,0.55,0.05,0.46,0.42
0.49,0.09,0.00,0.32,0.31,0.28,0.40,0.21,0.02,0.23,0.26,0.66,0.34,0.10,0.67,0.14,0.60,0.36,0.40,0.57,0.30,0.52,0.65,0.51,0.62,0.03,0.31,0.30,0.42,0.06,0.23,0.16,0.08,0.13,0.19,0.60,0.64,0.04,0.55,0.33
0.81,0.41,0.32,0.00,0.63,0.03,0.72,0.11,0.30,0.55,0.05,0.97,0.65,0.22,0.99,0.18,0.92,0.68,0.72,0.89,0.02,0.83,0.96,0.83,0.94,0.35,0.63,0.02,0.73,0.38,0.55,0.15,0.24,0.19,0.51,0.92,0.96,0.36,0.86,0.01
0.18,0.22,0.31,0.63,0.00,0.59,0.09,0.52,0.33,0.08,0.57,0.35,0.03,0.41,0.36,0.45,0.29,0.05,0.09,0.26,0.61,0.21,0.34,0.20,0.32,0.28,0.00,0.61,0.11,0.25,0.08,0.47,0.39,0.44,0.12,0.29,0.33,0.27,0.24,0.64
0.77,0.37,0.28,0.03,0.59,0.00,0.68,0.08,0.26,0.51,0.02,0.94,0.62,0.18,0.95,0.15,0.89,0.64,0.68,0.86,0.01,0.80,0.93,0.79,0.91,0.31,0.60,0.01,0.70,0.34,0.52,0.12,0.21,0.15,0.47,0.88,0.93,0.32,0.83,0.05
0.09,0.31,0.40,0.72,0.09,0.68,0.00,0.61,0.42,0.17,0.66,0.26,0.06,0.50,0.27,0.54,0.20,0.04,0.00,0.17,0.70,0.12,0.25,0.11,0.22,0.37,0.09,0.70,0.02,0.34,0.17,0.56,0.48,0.53,0.21,0.20,0.24,0.36,0.15,0.73
0.70,0.30,0.21,0.11,0.52,0.08,0.61,0.00,0.19,0.44,0.06,0.86,0.54,0.11,0.87,0.07,0.81,0.57,0.61,0.78,0.09,0.72,0.85,0.72,0.83,0.24,0.52,0.09,0.62,0.27,0.44,0.04,0.13,0.08,0.40,0.81,0.85,0.24,0.75,0.13
0.51,0.11,0.02,0.30,0.33,0.26,0.42,0.19,0.00,0.25,0.24,0.68,0.36,0.08,0.69,0.12,0.62,0.38,0.42,0.59,0.28,0.54,0.67,0.53,0.65,0.05,0.33,0.28,0.44,0.08,0.25,0.14,0.05,0.11,0.21,0.62,0.66,0.06,0.57,0.31
0.26,0.14,0.23,0.55,0.08,0.51,0.17,0.44,0.25,0.00,0.49,0.43,0.11,0.33,0.44,0.37,0.37,0.13,0.17,0.34,0.52,0.29,0.42,0.28,0.40,0.20,0.08,0.53,0.19,0.17,0.00,0.39,0.30,0.36,0.04,0.37,0.41,0.19,0.32,0.56
