37.970902.2f,92.263361.2f,45.072916.2f,61.915833.2f,39.507405.2f,57.218174.2f,36.983273.2f,56.335985.2f,61.789744.2f,40.984759.2f,54.644980.2f,82.415409.2f,76.084720.2f,40.793538.2f,67.578289.2f,30.127585.2f,17.204512.2f,20.621533.2f,97.632826.2f,3.502679.2f,38.652395.2f,67.698057.2f,94.201318.2f,26.896938.2f,81.094104.2f,5.223199.2f,34.962201.2f,53.501390.2f,71.962284.2f,45.405811.2f,76.978981.2f,31.721835.2f,42.143201.2f,31.151343.2f,31.142028.2f,29.002090.2f,55.652214.2f,74.188501.2f,26.747306.2f,83.498970.2f
49.557696.2f,40.874989.2f,54.846864.2f,33.306822.2f,72.938284.2f,72.210970.2f,58.663927.2f,33.231805.2f,40.050513.2f,56.499517.2f,29.392336.2f,36.049885.2f,35.481221.2f,35.368734.2f,17.220523.2f,56.619692.2f,69.907765.2f,56.939605.2f,36.254528.2f,73.296263.2f,44.167860.2f,10.994266.2f,28.143449.2f,74.857098.2f,18.164552.2f,73.200287.2f,41.548366.2f,68.419439.2f,7.825116.2f,32.957077.2f,39.614937.2f,62.672467.2f,33.544936.2f,49.091482.2f,62.739791.2f,46.015940.2f,64.573556.2f,53.576424.2f,80.095849.2f,26.105995.2f
19.169990.2f,67.638441.2f,36.213387.2f,34.151450.2f,39.143586.2f,48.898191.2f,26.371644.2f,33.447500.2f,42.034201.2f,34.179753.2f,25.130269.2f,53.946105.2f,48.138639.2f,9.760596.2f,36.566461.2f,25.638377.2f,31.171916.2f,13.913228.2f,70.458978.2f,30.401199.2f,14.778364.2f,36.310693.2f,65.594243.2f,39.884123.2f,52.324536.2f,30.642719.2f,5.553910.2f,44.262827.2f,40.571897.2f,19.602662.2f,50.000951.2f,32.466063.2f,10.824109.2f,11.374467.2f,32.140699.2f,6.888353.2f,50.097546.2f,58.217067.2f,43.895234.2f,56.294030.2f
73.524362.2f,30.306095.2f,67.738096.2f,56.073759.2f,96.939504.2f,95.593826.2f,82.658462.2f,45.550965.2f,47.942498.2f,70.539741.2f,53.289406.2f,52.785919.2f,54.589996.2f,58.598431.2f,39.989017.2f,73.839978.2f,88.782411.2f,79.745776.2f,19.654972.2f,94.295561.2f,68.053054.2f,34.699512.2f,11.104626.2f,91.749634.2f,17.070872.2f,93.946466.2f,64.675530.2f,91.974412.2f,30.703934.2f,51.475751.2f,58.618277.2f,78.788730.2f,56.645806.2f,72.613996.2f,78.998066.2f,67.161582.2f,73.728423.2f,55.126160.2f,97.209297.2f,20.808255.2f
34.829122.2f,57.505994.2f,57.993970.2f,15.625504.2f,57.147664.2f,54.793568.2f,43.341377.2f,40.101668.2f,49.036072.2f,58.382484.2f,13.408643.2f,23.716616.2f,20.639112.2f,25.333043.2f,1.537770.2f,55.005558.2f,65.234529.2f,46.237825.2f,53.860164.2f,65.341226.2f,30.333413.2f,6.938927.2f,45.824988.2f,72.371382.2f,35.217836.2f,65.654757.2f,31.089494.2f,51.159038.2f,10.155767.2f,33.139005.2f,24.454121.2f,61.842439.2f,24.256010.2f,36.716641.2f,61.745096.2f,39.693891.2f,70.077253.2f,64.879612.2f,77.097238.2f,42.775522.2f
26.518661.2f,62.007299.2f,28.996976.2f,38.688155.2f,46.280489.2f,56.311043.2f,33.770688.2f,26.912635.2f,35.064969.2f,27.225903.2f,28.991281.2f,57.562167.2f,52.164974.2f,13.469606.2f,38.152064.2f,19.794361.2f,28.645135.2f,19.225324.2f,65.786669.2f,31.197005.2f,21.783363.2f,36.530409.2f,61.645740.2f,35.929366.2f,48.428403.2f,31.008999.2f,12.148013.2f,51.674301.2f,40.455630.2f,13.571514.2f,54.454775.2f,26.808703.2f,13.363165.2f,18.773284.2f,26.567086.2f,3.952844.2f,42.886058.2f,50.994445.2f,40.491260.2f,51.559311.2f
67.875831.2f,51.825511.2f,12.519948.2f,76.485611.2f,85.169312.2f,97.395126.2f,74.368519.2f,29.404781.2f,23.971598.2f,15.383661.2f,66.517343.2f,91.849366.2f,87.887446.2f,53.355318.2f,69.280493.2f,26.576258.2f,38.630108.2f,55.969003.2f,62.271864.2f,51.831096.2f,63.216372.2f,64.184407.2f,64.007010.2f,32.843932.2f,55.066294.2f,50.278295.2f,53.566751.2f,92.781865.2f,66.038285.2f,35.934699.2f,91.080420.2f,23.568485.2f,52.282441.2f,59.664643.2f,24.147310.2f,42.334633.2f,1.962455.2f,23.811623.2f,37.333715.2f,51.752251.2f
12.310410.2f,69.355552.2f,46.854210.2f,21.851803.2f,35.966213.2f,41.055824.2f,21.585516.2f,38.821675.2f,48.295319.2f,45.401315.2f,13.655507.2f,42.025022.2f,36.000373.2f,6.159894.2f,27.205305.2f,37.815456.2f,43.384191.2f,20.687490.2f,69.963696.2f,40.734140.2f,6.322308.2f,28.934900.2f,63.770664.2f,52.364636.2f,50.864390.2f,41.309806.2f,7.030489.2f,36.502898.2f,33.399479.2f,25.433449.2f,37.643115.2f,44.748903.2f,7.951269.2f,11.066154.2f,44.453113.2f,19.202976.2f,60.662575.2f,65.156870.2f,56.268683.2f,56.342446.2f
30.039598.2f,51.621928.2f,37.366067.2f,28.500797.2f,53.549484.2f,58.210602.2f,39.258552.2f,22.875599.2f,32.542329.2f,37.468752.2f,18.807586.2f,44.043501.2f,39.692523.2f,12.462508.2f,22.375868.2f,34.169366.2f,45.693830.2f,32.685272.2f,52.719568.2f,48.293239.2f,24.033632.2f,19.506420.2f,47.149976.2f,51.905079.2f,33.963349.2f,48.224729.2f,18.026809.2f,53.759847.2f,23.214662.2f,12.426521.2f,42.813230.2f,40.912316.2f,10.360911.2f,26.522233.2f,40.839706.2f,21.056145.2f,50.079079.2f,49.440143.2f,56.845036.2f,38.853069.2f
67.592786.2f,84.054058.2f,32.021138.2f,85.784685.2f,76.031608.2f,92.598476.2f,70.247321.2f,53.898241.2f,53.221932.2f,28.916121.2f,76.286214.2f,104.911110.2f,99.481515.2f,60.604603.2f,84.738347.2f,28.342235.2f,22.745777.2f,50.273850.2f,93.386384.2f,34.251751.2f,65.389862.2f,81.809786.2f,93.465163.2f,12.206760.2f,82.418663.2f,32.493755.2f,57.302652.2f,88.450269.2f,85.044215.2f,51.631016.2f,101.629733.2f,21.739249.2f,60.703545.2f,58.912773.2f,21.742169.2f,45.300739.2f,32.464778.2f,57.235914.2f,10.590752.2f,81.164390.2f
24.351377.2f,103.348091.2f,79.510406.2f,34.791829.2f,16.964393.2f,5.691626.2f,18.240130.2f,74.187619.2f,83.617931.2f,77.139674.2f,37.831390.2f,48.628313.2f,42.695353.2f,41.488640.2f,50.514723.2f,67.272127.2f,65.509213.2f,38.339463.2f,102.161997.2f,55.672411.2f,29.748320.2f,55.951107.2f,94.796466.2f,76.221125.2f,82.908865.2f,57.179263.2f,39.084709.2f,1.573710.2f,59.764443.2f,60.643750.2f,40.634741.2f,73.296083.2f,43.319745.2f,32.375037.2f,72.839674.2f,49.700420.2f,93.342896.2f,100.416071.2f,78.215862.2f,89.463509.2f
21.909137.2f,74.387481.2f,63.957703.2f,3.689892.2f,40.944390.2f,36.680577.2f,28.434603.2f,50.986805.2f,60.605203.2f,63.138640.2f,9.441434.2f,23.783383.2f,17.350787.2f,23.396859.2f,18.928741.2f,56.643561.2f,62.686892.2f,38.150368.2f,71.695240.2f,58.999101.2f,20.107079.2f,24.785762.2f,63.867963.2f,71.707491.2f,52.717687.2f,59.778916.2f,26.383842.2f,33.177096.2f,28.312712.2f,39.932979.2f,18.423474.2f,63.649021.2f,23.874805.2f,27.610983.2f,63.392305.2f,38.359229.2f,77.371706.2f,77.375938.2f,75.614394.2f,59.896729.2f
