37.602633.2f,38.918913.2f,21.732013.2f,74.443204.2f,62.643347.2f,43.732048.2f,50.996033.2f,33.367617.2f,80.525316.2f,11.942788.2f,31.414753.2f,15.044673.2f,20.882518.2f,76.092063.2f,84.399599.2f,38.693605.2f,51.370459.2f,83.263368.2f,82.711551.2f,1.790744.2f,83.582796.2f,76.210212.2f,71.822004.2f,68.392970.2f,74.321928.2f,97.817108.2f,37.054976.2f,10.853539.2f,47.676859.2f,69.734641.2f,39.153219.2f,47.117620.2f,25.960534.2f,37.561048.2f,52.160828.2f,82.841700.2f,75.936405.2f,27.607554.2f,75.358295.2f,41.043219.2f,6.620907.2f,25.736559.2f,32.609714.2f,67.911923.2f,47.450353.2f,37.115839.2f,65.461562.2f,50.888713.2f,7.432401.2f,45.518865.2f
40.019593.2f,82.207660.2f,60.478059.2f,64.472692.2f,14.603133.2f,33.672977.2f,34.000495.2f,88.151637.2f,11.011049.2f,68.848530.2f,45.712220.2f,63.204153.2f,64.438560.2f,23.811656.2f,61.747388.2f,68.250792.2f,74.524378.2f,68.376559.2f,66.588190.2f,76.024557.2f,27.854228.2f,6.400665.2f,27.561436.2f,57.363899.2f,19.025788.2f,29.501442.2f,61.438673.2f,66.932366.2f,31.655133.2f,7.477852.2f,38.008706.2f,32.151269.2f,52.740729.2f,63.675206.2f,33.725528.2f,9.611571.2f,8.489326.2f,61.820212.2f,48.580460.2f,38.551656.2f,83.697006.2f,51.823868.2f,97.693791.2f,64.371923.2f,32.287937.2f,53.420928.2f,36.517093.2f,38.296747.2f,84.068660.2f,75.981014.2f
8.666392.2f,44.435818.2f,17.878686.2f,58.632241.2f,33.651579.2f,15.276195.2f,24.557166.2f,46.102205.2f,52.153107.2f,22.579703.2f,2.762886.2f,15.409674.2f,22.201008.2f,49.972118.2f,65.462565.2f,34.421722.2f,46.806134.2f,66.912909.2f,65.834521.2f,28.016891.2f,57.748133.2f,47.051496.2f,44.926191.2f,50.981654.2f,46.035384.2f,70.451871.2f,28.117793.2f,19.521094.2f,20.660202.2f,40.598768.2f,10.015020.2f,18.637843.2f,9.910769.2f,30.232350.2f,28.044966.2f,54.183661.2f,46.830308.2f,21.368383.2f,53.689776.2f,15.680749.2f,35.705274.2f,6.596313.2f,52.724507.2f,53.534225.2f,19.162981.2f,24.790729.2f,43.299239.2f,26.428333.2f,36.045837.2f,47.051985.2f
42.240889.2f,53.344882.2f,66.850762.2f,19.013650.2f,43.251734.2f,46.776877.2f,25.865019.2f,62.988256.2f,56.434684.2f,69.662429.2f,48.989210.2f,56.727358.2f,71.121993.2f,66.271651.2f,18.155700.2f,40.405913.2f,38.675757.2f,23.216683.2f,21.515633.2f,69.363570.2f,72.221883.2f,39.416920.2f,18.162151.2f,12.944597.2f,26.998889.2f,74.682770.2f,36.945630.2f,65.324648.2f,51.588182.2f,41.950311.2f,44.291898.2f,34.345937.2f,58.759210.2f,37.896020.2f,60.331535.2f,55.104921.2f,37.395076.2f,44.412369.2f,4.740548.2f,54.211171.2f,76.065428.2f,55.582713.2f,75.417064.2f,20.424850.2f,33.407575.2f,70.642085.2f,72.227211.2f,22.658405.2f,75.345714.2f,94.877866.2f
51.171631.2f,42.187599.2f,72.138957.2f,4.658701.2f,60.037317.2f,58.440734.2f,38.042354.2f,52.838233.2f,75.272831.2f,72.157712.2f,56.411661.2f,57.955148.2f,75.961369.2f,83.730676.2f,17.151665.2f,32.871969.2f,24.943831.2f,13.225666.2f,13.034233.2f,68.408096.2f,90.243751.2f,58.752141.2f,37.859882.2f,7.338685.2f,46.682639.2f,94.089880.2f,33.144248.2f,67.351440.2f,64.365857.2f,60.189310.2f,54.193966.2f,46.301824.2f,65.208230.2f,32.778844.2f,73.737813.2f,74.294814.2f,56.800751.2f,42.734412.2f,19.310284.2f,65.114394.2f,73.805648.2f,61.707273.2f,65.615065.2f,2.335768.2f,45.368500.2f,79.672580.2f,87.292487.2f,33.190733.2f,72.632235.2f,102.449095.2f
22.242925.2f,69.193447.2f,38.620405.2f,65.258612.2f,8.579553.2f,13.273272.2f,26.164106.2f,73.036120.2f,23.820842.2f,47.467534.2f,25.902621.2f,43.918933.2f,42.446024.2f,22.734447.2f,66.834921.2f,56.450697.2f,65.916075.2f,71.511398.2f,69.930160.2f,55.803059.2f,30.452491.2f,24.011663.2f,34.797433.2f,57.208861.2f,30.191725.2f,41.947962.2f,49.323260.2f,46.103782.2f,9.567820.2f,15.940610.2f,19.108074.2f,19.167103.2f,31.320759.2f,51.706103.2f,13.213203.2f,26.240785.2f,24.860646.2f,46.601569.2f,53.026101.2f,16.551540.2f,63.325844.2f,30.977353.2f,80.878465.2f,62.800415.2f,19.907248.2f,31.468510.2f,23.571815.2f,31.258306.2f,63.930384.2f,54.876395.2f
43.786261.2f,79.961746.2f,67.288937.2f,55.123251.2f,22.932698.2f,40.091239.2f,32.667834.2f,87.231679.2f,23.623735.2f,74.564609.2f,50.541179.2f,66.610532.2f,71.522690.2f,37.125868.2f,50.622965.2f,65.752604.2f,69.758815.2f,57.846942.2f,56.025123.2f,80.008865.2f,40.769735.2f,7.938974.2f,18.339667.2f,48.814032.2f,9.863222.2f,39.288409.2f,59.517157.2f,71.900605.2f,40.078858.2f,15.886680.2f,42.803930.2f,34.263070.2f,58.985308.2f,61.527280.2f,44.368752.2f,21.052631.2f,6.664012.2f,61.995000.2f,38.313146.2f,46.408040.2f,87.690516.2f,57.354932.2f,97.895734.2f,56.182274.2f,34.020361.2f,62.731691.2f,49.335917.2f,35.638371.2f,87.774604.2f,86.383714.2f
38.134082.2f,82.792272.2f,35.275942.2f,89.859621.2f,34.713458.2f,29.493307.2f,50.005702.2f,83.343626.2f,39.626249.2f,45.210634.2f,36.073070.2f,49.895925.2f,36.756466.2f,27.248480.2f,92.852714.2f,72.697506.2f,84.499118.2f,96.837442.2f,95.363723.2f,56.920589.2f,32.390796.2f,48.589636.2f,61.671833.2f,81.729763.2f,56.815930.2f,49.009853.2f,66.062529.2f,46.683559.2f,23.487449.2f,40.721847.2f,34.591234.2f,41.553068.2f,33.397846.2f,68.305996.2f,14.371762.2f,43.313620.2f,49.960736.2f,59.840278.2f,79.186724.2f,23.777960.2f,62.956858.2f,35.778792.2f,87.662840.2f,86.407775.2f,42.496136.2f,20.122387.2f,11.037700.2f,54.671125.2f,64.272302.2f,33.900099.2f
53.825850.2f,64.726076.2f,78.927173.2f,22.919152.2f,50.244014.2f,57.199017.2f,37.076342.2f,74.735797.2f,59.946277.2f,82.171632.2f,60.826016.2f,69.416681.2f,83.250822.2f,71.652799.2f,14.038071.2f,52.418643.2f,48.927236.2f,22.088809.2f,20.305847.2f,82.118147.2f,76.696175.2f,42.557703.2f,22.592997.2f,21.054035.2f,30.075467.2f,76.408293.2f,49.452078.2f,77.908186.2f,61.294051.2f,47.148430.2f,55.503403.2f,45.141663.2f,70.672727.2f,50.255153.2f,69.425179.2f,57.892742.2f,40.470780.2f,57.146156.2f,8.932196.2f,64.761737.2f,88.828828.2f,67.612959.2f,87.331326.2f,27.537708.2f,44.249287.2f,81.626188.2f,79.873386.2f,34.631895.2f,88.103276.2f,106.110602.2f
4.189352.2f,51.611874.2f,26.252513.2f,56.345739.2f,22.531175.2f,5.712006.2f,17.737911.2f,54.927820.2f,41.318631.2f,32.949945.2f,8.988314.2f,26.436054.2f,30.629453.2f,40.549336.2f,61.191811.2f,39.630855.2f,50.463332.2f,63.960608.2f,62.653463.2f,39.186816.2f,48.342595.2f,35.981287.2f,36.132563.2f,48.296022.2f,35.956014.2f,60.059540.2f,32.621982.2f,30.410761.2f,12.341606.2f,29.426230.2f,1.191144.2f,9.631394.2f,17.714022.2f,34.977110.2f,21.513497.2f,43.189101.2f,35.850929.2f,28.666375.2f,48.317867.2f,11.243241.2f,46.871100.2f,15.759012.2f,62.718013.2f,52.290246.2f,10.475362.2f,27.055085.2f,36.709828.2f,21.414653.2f,47.217887.2f,51.430310.2f
49.062378.2f,61.866124.2f,23.868521.2f,94.908493.2f,69.453456.2f,51.036144.2f,65.278023.2f,55.735790.2f,84.255990.2f,19.085489.2f,41.736221.2f,32.993424.2f,19.597604.2f,76.009251.2f,103.785543.2f,60.872996.2f,73.886953.2f,103.663506.2f,102.914096.2f,24.532043.2f,82.565557.2f,84.644475.2f,85.616485.2f,88.174713.2f,86.013252.2f,98.536657.2f,58.161833.2f,23.691175.2f,52.187518.2f,77.060538.2f,48.920747.2f,59.040495.2f,32.347664.2f,59.081891.2f,52.589630.2f,87.280464.2f,84.923475.2f,48.408535.2f,93.271983.2f,45.292766.2f,23.717643.2f,34.598226.2f,52.447666.2f,88.723140.2f,59.675333.2f,32.580254.2f,61.833894.2f,66.687081.2f,25.663735.2f,27.342464.2f
