69.073035.2f,74.423033.2f,45.107664.2f,32.450063.2f,80.611630.2f,33.089615.2f,76.863744.2f,67.558425.2f,45.334355.2f,10.328920.2f
41.526145.2f,68.015587.2f,10.096182.2f,23.736476.2f,78.169803.2f,62.392441.2f,88.674851.2f,90.541760.2f,60.173544.2f,53.382770.2f
48.108901.2f,62.944555.2f,25.325752.2f,22.309859.2f,71.522266.2f,42.838069.2f,75.962029.2f,73.741873.2f,44.819586.2f,32.771407.2f
12.493586.2f,35.045109.2f,63.273407.2f,76.239015.2f,44.983459.2f,75.400738.2f,68.812563.2f,83.838709.2f,59.221736.2f,85.704955.2f
39.125000.2f,38.562476.2f,48.408968.2f,49.103385.2f,45.816543.2f,28.436577.2f,49.528348.2f,50.716085.2f,20.141230.2f,38.517028.2f
23.980775.2f,17.454576.2f,72.546547.2f,82.365024.2f,26.691684.2f,66.601196.2f,51.595444.2f,68.666689.2f,48.189054.2f,82.264572.2f
56.530627.2f,85.080194.2f,7.924183.2f,21.184640.2f,95.300094.2f,75.798362.2f,105.427457.2f,105.986740.2f,76.063099.2f,61.662516.2f
73.006149.2f,77.855749.2f,47.865813.2f,34.219442.2f,83.801159.2f,34.430370.2f,79.131843.2f,68.844765.2f,47.930279.2f,8.995687.2f
92.751122.2f,97.249994.2f,61.435947.2f,44.628283.2f,102.556969.2f,48.785079.2f,95.058108.2f,81.425454.2f,65.387920.2f,22.491340.2f
19.512525.2f,17.243883.2f,64.571209.2f,73.592763.2f,28.075248.2f,58.776810.2f,49.827267.2f,64.464241.2f,41.144077.2f,73.277152.2f
13.115848.2f,46.827473.2f,38.345987.2f,51.924864.2f,57.747469.2f,65.824437.2f,75.378223.2f,84.330818.2f,54.869880.2f,68.629544.2f
51.250915.2f,50.687520.2f,48.185880.2f,43.973296.2f,56.738287.2f,20.499541.2f,55.183540.2f,50.658130.2f,23.176375.2f,25.229154.2f
82.864559.2f,51.355103.2f,105.080576.2f,102.522116.2f,44.872047.2f,43.699270.2f,18.290455.2f,9.781876.2f,36.953089.2f,70.608180.2f
58.910594.2f,73.608968.2f,26.088958.2f,15.090436.2f,81.810321.2f,46.412386.2f,84.197184.2f,79.494705.2f,52.360587.2f,29.305030.2f
56.073923.2f,67.301366.2f,31.423822.2f,22.953056.2f,75.041662.2f,38.658393.2f,76.405549.2f,71.523776.2f,44.492463.2f,24.427589.2f
43.863434.2f,34.695621.2f,57.593465.2f,57.469442.2f,40.183820.2f,23.777366.2f,40.707102.2f,41.686360.2f,11.072807.2f,40.541105.2f
59.716621.2f,61.052078.2f,47.407685.2f,39.413133.2f,66.881391.2f,22.111145.2f,63.389454.2f,55.809230.2f,31.617070.2f,15.272382.2f
24.933123.2f,12.290929.2f,70.039318.2f,78.553175.2f,22.819965.2f,59.528888.2f,45.959089.2f,62.043175.2f,41.035194.2f,75.873064.2f
59.260016.2f,24.090871.2f,92.556723.2f,94.839993.2f,16.378587.2f,48.710408.2f,10.370547.2f,31.565951.2f,31.400356.2f,74.153973.2f
80.742518.2f,90.310739.2f,45.646638.2f,28.696252.2f,97.001621.2f,49.171394.2f,93.694777.2f,83.543849.2f,62.201832.2f,22.742184.2f
59.791530.2f,73.424282.2f,28.185482.2f,16.846232.2f,81.427698.2f,44.715963.2f,83.175145.2f,78.012711.2f,51.255690.2f,27.199534.2f
54.143170.2f,73.121450.2f,17.302924.2f,11.309225.2f,82.095013.2f,52.753750.2f,87.230658.2f,84.625453.2f,56.038721.2f,37.946746.2f
34.607591.2f,11.135070.2f,69.481525.2f,74.488357.2f,18.918886.2f,45.012997.2f,33.625313.2f,47.054109.2f,25.902812.2f,64.144713.2f
66.808858.2f,40.774357.2f,85.504086.2f,83.136183.2f,38.303749.2f,26.771022.2f,19.966156.2f,13.658601.2f,17.432729.2f,53.839490.2f
32.270157.2f,40.152750.2f,82.791303.2f,96.022462.2f,46.919794.2f,89.999811.2f,73.427665.2f,92.028172.2f,72.002291.2f,103.410189.2f
75.998532.2f,66.228497.2f,70.216367.2f,60.855900.2f,68.576763.2f,11.066943.2f,56.014853.2f,41.142715.2f,30.615112.2f,20.903311.2f
81.408888.2f,80.773909.2f,60.788683.2f,47.210386.2f,85.206013.2f,30.062138.2f,76.376970.2f,62.781814.2f,47.407607.2f,6.695941.2f
72.784963.2f,49.868209.2f,85.444144.2f,80.975410.2f,48.168860.2f,20.738903.2f,29.208408.2f,13.759087.2f,20.249783.2f,47.596134.2f
12.885578.2f,43.130556.2f,59.452784.2f,73.762870.2f,53.277828.2f,79.699746.2f,76.564042.2f,90.664893.2f,64.693780.2f,87.543799.2f
89.033481.2f,95.178418.2f,56.391600.2f,39.488396.2f,100.944729.2f,48.794623.2f,94.778993.2f,82.229471.2f,64.386459.2f,21.760616.2f
