45.200107.2f,33.706606.2f,39.389897.2f,45.577697.2f,10.533435.2f,66.958177.2f,79.708710.2f,12.197199.2f,39.120963.2f,39.241350.2f,71.224292.2f,27.085137.2f,30.039501.2f,42.557501.2f,67.514457.2f,47.558673.2f,14.642308.2f,43.501727.2f,48.925823.2f,79.295137.2f
9.613476.2f,28.120983.2f,5.195638.2f,36.024990.2f,46.249895.2f,34.825059.2f,44.549863.2f,31.691719.2f,54.227445.2f,9.378323.2f,34.682235.2f,50.827754.2f,35.756687.2f,31.878244.2f,43.451922.2f,50.534408.2f,50.780920.2f,33.921602.2f,27.032108.2f,57.412882.2f
49.321583.2f,77.512378.2f,44.355037.2f,83.799813.2f,87.292970.2f,62.896554.2f,27.132897.2f,66.041793.2f,66.458662.2f,56.496304.2f,39.945726.2f,73.818124.2f,85.190563.2f,37.432844.2f,80.360042.2f,51.407251.2f,87.351277.2f,37.719490.2f,71.196378.2f,93.187352.2f
13.565120.2f,31.972928.2f,24.377422.2f,31.732174.2f,63.886068.2f,12.070829.2f,39.807016.2f,53.413438.2f,76.949588.2f,16.494250.2f,23.759488.2f,73.319117.2f,42.110503.2f,52.213724.2f,24.300906.2f,72.140759.2f,70.280772.2f,54.257316.2f,16.988430.2f,38.016923.2f
43.620129.2f,16.360655.2f,48.977295.2f,10.061048.2f,47.071571.2f,46.170406.2f,80.953465.2f,52.991200.2f,82.801139.2f,36.130815.2f,65.483856.2f,72.452270.2f,15.691844.2f,72.340903.2f,34.245282.2f,86.419367.2f,56.693135.2f,74.173385.2f,24.867249.2f,40.414215.2f
31.774919.2f,61.473963.2f,31.647967.2f,65.343822.2f,80.628251.2f,39.983084.2f,9.878309.2f,62.000637.2f,72.658727.2f,39.918648.2f,16.596522.2f,75.788462.2f,70.517231.2f,41.480922.2f,58.017919.2f,60.916484.2f,83.292342.2f,42.844228.2f,51.442471.2f,70.352623.2f
34.787246.2f,54.981121.2f,24.608629.2f,64.427941.2f,56.172261.2f,58.319159.2f,44.256505.2f,34.505527.2f,38.062266.2f,38.190194.2f,45.380354.2f,42.760135.2f,60.249650.2f,6.834022.2f,70.934050.2f,26.988882.2f,55.567537.2f,8.284954.2f,55.785160.2f,84.953136.2f
59.770598.2f,88.784080.2f,56.068752.2f,94.198326.2f,100.184031.2f,69.779307.2f,29.515693.2f,78.985700.2f,78.460239.2f,67.395829.2f,45.394830.2f,86.437907.2f,96.899851.2f,50.212659.2f,88.022137.2f,62.883670.2f,100.300757.2f,50.386690.2f,80.885306.2f,100.084613.2f
7.551772.2f,32.979008.2f,17.832117.2f,35.236288.2f,61.188563.2f,18.366807.2f,36.003434.2f,48.695772.2f,70.787844.2f,13.506151.2f,21.554830.2f,67.982476.2f,42.819825.2f,45.215159.2f,31.357526.2f,65.316560.2f,66.817425.2f,47.249426.2f,21.245047.2f,45.161586.2f
31.612069.2f,36.849657.2f,22.370758.2f,48.332761.2f,32.038673.2f,56.709717.2f,60.194484.2f,11.549120.2f,33.226849.2f,29.170136.2f,54.373501.2f,28.831360.2f,39.192617.2f,22.147304.2f,63.130922.2f,33.703361.2f,33.022241.2f,23.500110.2f,44.879113.2f,76.635256.2f
21.055569.2f,50.211876.2f,18.830033.2f,55.546688.2f,67.626411.2f,36.827387.2f,22.518117.2f,49.229568.2f,62.240992.2f,28.703084.2f,20.100639.2f,63.999878.2f,58.745583.2f,31.817568.2f,52.902932.2f,52.274712.2f,70.401774.2f,33.508331.2f,42.721272.2f,66.312691.2f
