16.126101.2f,64.547653.2f,20.955936.2f,68.618609.2f,31.304671.2f,29.854473.2f,33.303093.2f,36.399424.2f,26.622882.2f,56.881040.2f,65.128105.2f,53.814971.2f,63.900344.2f,26.390410.2f,71.920605.2f,56.399985.2f,3.970747.2f,21.567469.2f,28.630715.2f,33.586811.2f,40.426958.2f,27.369941.2f,57.069444.2f,41.522651.2f,41.495162.2f,12.691505.2f,21.032446.2f,67.936686.2f,55.442856.2f,18.175706.2f
35.179443.2f,72.390368.2f,29.643573.2f,28.373560.2f,36.594593.2f,15.106711.2f,76.517351.2f,25.933033.2f,27.352796.2f,56.180537.2f,42.239933.2f,23.863138.2f,37.101474.2f,70.541852.2f,28.384937.2f,48.096018.2f,41.217339.2f,65.816574.2f,68.129098.2f,46.183030.2f,49.727793.2f,41.715456.2f,12.902116.2f,66.072658.2f,4.591207.2f,31.797072.2f,33.334062.2f,27.761971.2f,62.226662.2f,61.322946.2f
35.859523.2f,91.324452.2f,43.180760.2f,43.227611.2f,28.367899.2f,23.196714.2f,83.416264.2f,16.469917.2f,43.095712.2f,75.748858.2f,22.029888.2f,4.133035.2f,17.315915.2f,75.823797.2f,38.153730.2f,68.133541.2f,46.340664.2f,70.093448.2f,77.807942.2f,37.017122.2f,67.372072.2f,57.225477.2f,21.436423.2f,81.221197.2f,24.169663.2f,38.041940.2f,47.250045.2f,19.764641.2f,81.004947.2f,63.836053.2f
27.924887.2f,72.642261.2f,36.703739.2f,84.938903.2f,40.068349.2f,45.413153.2f,21.736686.2f,48.437929.2f,42.283022.2f,68.262485.2f,75.739352.2f,67.054290.2f,75.593793.2f,12.724058.2f,88.106027.2f,69.575161.2f,18.989007.2f,6.459481.2f,24.147496.2f,38.361030.2f,51.172295.2f,39.607793.2f,72.861636.2f,45.666861.2f,57.644391.2f,28.404891.2f,35.981731.2f,82.486233.2f,64.813024.2f,3.352347.2f
43.043824.2f,34.997843.2f,18.595514.2f,47.502463.2f,55.936692.2f,35.272999.2f,55.335967.2f,52.455943.2f,14.957280.2f,21.840828.2f,78.006746.2f,60.708474.2f,73.919788.2f,53.897742.2f,55.700989.2f,19.876503.2f,37.032291.2f,52.427339.2f,42.794273.2f,62.873312.2f,11.136932.2f,10.774655.2f,48.806324.2f,29.940433.2f,34.039491.2f,33.246697.2f,16.237729.2f,66.048626.2f,24.620510.2f,52.812770.2f
25.425409.2f,97.096868.2f,44.911664.2f,63.762992.2f,10.567346.2f,28.386654.2f,72.086408.2f,11.009707.2f,47.597294.2f,83.997818.2f,25.400661.2f,23.454245.2f,26.523345.2f,63.326787.2f,60.216784.2f,78.589197.2f,37.623743.2f,57.034371.2f,69.979236.2f,15.732079.2f,71.658719.2f,59.092340.2f,42.836998.2f,80.365869.2f,38.426961.2f,33.039506.2f,48.561570.2f,41.503923.2f,86.823273.2f,49.608367.2f
11.157337.2f,65.008500.2f,16.444635.2f,61.899514.2f,26.620662.2f,22.401713.2f,40.669984.2f,29.923221.2f,21.945772.2f,55.456493.2f,58.848163.2f,46.721137.2f,57.243733.2f,33.844974.2f,64.770605.2f,53.634410.2f,4.420598.2f,28.898339.2f,35.088502.2f,30.810643.2f,39.932646.2f,26.517341.2f,49.679793.2f,44.609770.2f,34.307047.2f,5.232516.2f,17.866999.2f,60.524236.2f,55.355615.2f,24.758531.2f
25.853991.2f,65.261263.2f,29.796429.2f,78.742596.2f,39.922360.2f,40.883928.2f,22.466908.2f,46.590637.2f,35.248523.2f,60.470735.2f,74.900822.2f,64.508288.2f,74.099437.2f,15.379502.2f,82.560254.2f,61.783402.2f,14.666282.2f,11.114546.2f,20.230665.2f,40.094472.2f,43.393368.2f,31.808703.2f,68.014436.2f,38.997259.2f,52.238150.2f,23.730720.2f,28.680995.2f,78.939201.2f,57.206188.2f,10.949673.2f
53.018891.2f,101.328679.2f,57.422115.2f,40.720303.2f,44.997113.2f,38.344081.2f,100.217656.2f,33.500905.2f,56.146699.2f,84.642692.2f,23.281177.2f,14.594585.2f,16.979701.2f,92.831215.2f,31.927290.2f,75.752031.2f,63.158296.2f,87.185661.2f,93.940690.2f,52.996131.2f,79.075437.2f,70.590714.2f,21.588768.2f,94.955849.2f,33.938907.2f,54.499630.2f,61.390073.2f,5.438792.2f,91.296782.2f,81.026180.2f
56.423769.2f,128.996970.2f,76.897567.2f,86.535062.2f,40.917096.2f,59.319892.2f,99.295064.2f,41.823841.2f,79.343359.2f,115.408547.2f,25.604979.2f,41.459900.2f,31.928308.2f,90.028753.2f,79.709514.2f,109.298498.2f,68.267937.2f,83.656493.2f,99.531072.2f,39.363430.2f,103.614960.2f,91.113480.2f,64.740207.2f,112.062348.2f,66.595945.2f,64.837652.2f,80.577856.2f,54.291480.2f,118.686425.2f,75.759012.2f
12.957166.2f,84.139769.2f,35.746040.2f,75.371418.2f,17.938702.2f,32.839234.2f,44.798277.2f,28.482256.2f,40.915558.2f,75.187764.2f,53.547378.2f,47.492259.2f,54.139900.2f,35.706667.2f,75.786095.2f,73.212802.2f,17.569975.2f,29.327473.2f,45.102555.2f,15.381136.2f,59.431594.2f,46.055893.2f,58.816686.2f,61.326208.2f,46.605919.2f,21.276751.2f,37.570611.2f,64.533460.2f,74.743113.2f,21.638836.2f
51.830854.2f,61.990524.2f,36.370504.2f,13.391244.2f,56.514530.2f,32.475418.2f,84.715859.2f,46.582327.2f,31.377750.2f,44.510048.2f,60.919202.2f,42.715932.2f,55.112192.2f,80.632012.2f,21.503136.2f,34.564187.2f,54.160545.2f,77.089051.2f,73.897218.2f,65.956554.2f,44.642440.2f,42.367187.2f,21.251540.2f,64.375679.2f,19.269961.2f,45.453850.2f,38.475878.2f,38.930435.2f,52.885665.2f,74.309903.2f
62.146358.2f,33.786325.2f,38.400590.2f,38.893233.2f,72.710278.2f,48.824925.2f,76.886803.2f,66.278958.2f,33.148829.2f,16.526010.2f,87.167036.2f,68.785833.2f,81.960192.2f,76.093415.2f,49.536683.2f,6.137519.2f,58.278416.2f,74.799988.2f,63.858742.2f,80.874757.2f,25.781440.2f,33.048420.2f,50.172175.2f,45.568292.2f,41.072155.2f,52.822652.2f,37.331851.2f,68.208526.2f,26.345986.2f,75.095291.2f
52.590989.2f,79.726365.2f,57.936188.2f,107.298256.2f,63.904723.2f,69.626990.2f,12.566676.2f,72.975633.2f,63.052892.2f,80.609690.2f,99.637428.2f,91.698290.2f,99.879558.2f,13.707663.2f,111.460501.2f,84.671190.2f,43.116323.2f,18.472657.2f,25.951205.2f,60.583636.2f,64.132631.2f,55.955352.2f,96.904825.2f,50.737874.2f,81.176049.2f,52.459633.2f,56.072964.2f,107.124460.2f,74.443115.2f,24.854757.2f
46.409250.2f,118.549724.2f,66.468508.2f,77.792333.2f,30.905546.2f,48.916896.2f,90.593676.2f,31.387944.2f,68.894641.2f,104.990016.2f,19.736672.2f,32.705760.2f,25.412368.2f,81.434777.2f,71.680126.2f,98.976965.2f,58.402768.2f,75.045885.2f,90.097498.2f,30.529616.2f,93.175397.2f,80.712782.2f,55.934777.2f,101.876059.2f,56.599480.2f,54.584363.2f,70.166887.2f,47.379840.2f,108.237746.2f,67.220646.2f
42.732540.2f,115.980593.2f,63.756850.2f,78.381131.2f,27.245108.2f,47.043603.2f,85.999392.2f,29.428407.2f,66.515312.2f,102.884839.2f,23.152434.2f,33.730996.2f,28.265529.2f,76.794867.2f,72.897797.2f,97.276846.2f,54.543585.2f,70.408285.2f,85.880972.2f,25.919723.2f,90.516816.2f,77.823153.2f,56.594409.2f,98.430044.2f,55.764901.2f,51.296451.2f,67.339865.2f,49.557497.2f,105.721997.2f,62.550882.2f
42.538875.2f,38.335714.2f,26.560100.2f,70.925480.2f,57.991456.2f,46.248962.2f,32.398533.2f,59.673521.2f,28.614998.2f,36.091036.2f,88.282193.2f,73.520427.2f,85.649071.2f,33.373460.2f,78.018930.2f,40.362244.2f,31.339298.2f,34.128629.2f,19.112976.2f,61.676701.2f,19.585191.2f,15.220776.2f,67.966719.2f,13.259190.2f,51.541959.2f,34.295400.2f,22.616832.2f,83.320352.2f,30.948015.2f,37.646644.2f
44.736733.2f,92.063331.2f,47.683255.2f,35.800623.2f,38.671520.2f,28.835748.2f,91.195523.2f,26.595440.2f,46.386260.2f,75.598717.2f,26.282580.2f,10.240908.2f,20.129276.2f,84.068260.2f,29.080455.2f,67.016578.2f,54.252378.2f,78.586726.2f,84.515221.2f,47.453163.2f,69.463379.2f,60.829204.2f,14.425980.2f,85.191647.2f,24.358244.2f,45.358306.2f,51.640156.2f,10.082601.2f,81.950722.2f,72.745102.2f
41.197940.2f,75.605358.2f,35.528057.2f,23.828876.2f,41.352192.2f,21.297347.2f,82.789115.2f,29.981108.2f,32.780590.2f,58.879735.2f,41.855074.2f,23.587350.2f,36.175866.2f,76.866148.2f,22.403165.2f,50.108770.2f,47.536387.2f,72.144895.2f,74.221776.2f,50.949213.2f,53.983405.2f,46.935397.2f,6.696322.2f,71.167377.2f,9.915034.2f,38.115545.2f,39.083608.2f,23.254624.2f,65.637149.2f,67.608923.2f
63.498127.2f,98.628696.2f,61.773710.2f,29.949431.2f,58.408203.2f,45.516148.2f,108.246198.2f,46.298540.2f,59.035501.2f,81.243021.2f,39.702654.2f,29.102957.2f,33.489154.2f,101.746638.2f,19.205189.2f,71.403032.2f,71.943898.2f,96.597697.2f,100.273411.2f,67.175719.2f,79.068881.2f,73.054010.2f,19.685284.2f,97.114376.2f,36.193741.2f,62.671240.2f,65.369140.2f,11.452319.2f,89.203270.2f,91.253895.2f
65.287017.2f,60.669005.2f,47.440656.2f,13.740622.2f,70.576850.2f,46.367823.2f,94.355906.2f,60.637880.2f,41.963078.2f,43.422609.2f,73.294588.2f,55.515472.2f,67.232280.2f,91.237293.2f,24.836254.2f,32.954310.2f,66.488383.2f,88.277096.2f,82.602516.2f,79.992130.2f,48.772988.2f,50.176355.2f,32.686332.2f,69.264829.2f,33.348106.2f,58.249389.2f,48.746467.2f,48.665503.2f,53.061812.2f,86.243288.2f
68.102024.2f,9.506125.2f,45.865955.2f,72.593647.2f,82.762715.2f,64.865939.2f,57.681004.2f,81.351974.2f,44.151518.2f,19.043470.2f,107.975460.2f,90.921952.2f,104.078250.2f,61.125663.2f,82.387084.2f,29.132809.2f,58.534129.2f,62.875537.2f,44.615185.2f,88.109544.2f,19.506599.2f,31.662989.2f,78.255796.2f,19.495896.2f,64.210387.2f,58.616630.2f,42.157648.2f,95.903974.2f,8.970354.2f,66.858259.2f
42.463072.2f,116.761213.2f,64.527219.2f,81.845432.2f,27.249381.2f,48.773223.2f,84.000191.2f,31.314949.2f,67.626314.2f,104.164369.2f,27.835980.2f,37.623362.2f,32.851961.2f,74.717703.2f,76.734412.2f,98.953424.2f,53.916316.2f,68.351934.2f,84.577323.2f,24.269395.2f,91.250786.2f,78.336642.2f,60.161588.2f,98.215924.2f,58.317824.2f,51.467358.2f,67.964916.2f,53.882896.2f,106.576689.2f,60.446821.2f
