27.226481.2f,20.301372.2f,55.686945.2f,35.438791.2f,72.040011.2f,73.216800.2f,45.072946.2f,12.926499.2f,21.990324.2f,42.144682.2f,59.418180.2f,51.105439.2f,20.382542.2f,61.651578.2f,48.412490.2f,17.870771.2f,83.363403.2f,53.185028.2f,8.768394.2f,90.760131.2f,59.924757.2f,80.501457.2f,93.353682.2f,6.377923.2f,74.318574.2f,43.673755.2f,59.327015.2f,60.621948.2f,78.050506.2f,46.549658.2f,71.383026.2f,66.286048.2f,77.808128.2f,32.296879.2f,27.538362.2f,17.050558.2f,19.224925.2f,34.825522.2f,66.710987.2f,9.663308.2f,31.925294.2f,16.863109.2f,73.655640.2f,41.101367.2f,53.912276.2f,22.497537.2f,66.176657.2f,47.301203.2f,66.656685.2f,21.383883.2f
61.322185.2f,52.263720.2f,34.141601.2f,31.824287.2f,64.797456.2f,57.160840.2f,53.034072.2f,62.208182.2f,51.159531.2f,33.281064.2f,52.329299.2f,50.837611.2f,54.161907.2f,21.244648.2f,49.345500.2f,64.443069.2f,34.648139.2f,47.885797.2f,41.205902.2f,71.888382.2f,28.043148.2f,36.631679.2f,45.852494.2f,50.010636.2f,33.128744.2f,42.906861.2f,28.819101.2f,63.178444.2f,42.969940.2f,14.511109.2f,27.960109.2f,18.756604.2f,54.402027.2f,40.176693.2f,21.866700.2f,56.050890.2f,32.647603.2f,14.956229.2f,46.462941.2f,57.661863.2f,40.394889.2f,65.929531.2f,33.277862.2f,72.033930.2f,11.223409.2f,29.551390.2f,30.068783.2f,63.475541.2f,21.301735.2f,68.658452.2f
77.426460.2f,68.715002.2f,41.043172.2f,46.107254.2f,71.270998.2f,61.236024.2f,65.630164.2f,79.827653.2f,67.655867.2f,45.005516.2f,60.651257.2f,60.966293.2f,70.672188.2f,21.290777.2f,60.097774.2f,81.914383.2f,17.964875.2f,57.618129.2f,58.812576.2f,72.902079.2f,31.467296.2f,26.649915.2f,30.149481.2f,67.560494.2f,26.013974.2f,54.472142.2f,32.806319.2f,73.029016.2f,39.315727.2f,26.548263.2f,20.146362.2f,9.922283.2f,55.518880.2f,54.550701.2f,39.485991.2f,72.971060.2f,49.879861.2f,32.460239.2f,50.611374.2f,75.187995.2f,54.847751.2f,83.541691.2f,26.913005.2f,87.472266.2f,17.990078.2f,46.813733.2f,29.479094.2f,76.737473.2f,14.949065.2f,86.150563.2f
27.413161.2f,19.047946.2f,52.394585.2f,32.546182.2f,71.054387.2f,71.197227.2f,44.972334.2f,18.925882.2f,23.700851.2f,36.733144.2f,58.006910.2f,46.917737.2f,19.724062.2f,56.811590.2f,44.223613.2f,23.625919.2f,77.433599.2f,51.696357.2f,5.288149.2f,88.786699.2f,55.786922.2f,75.605760.2f,87.340212.2f,10.120924.2f,68.282452.2f,39.043635.2f,55.295966.2f,60.533333.2f,74.051883.2f,41.680325.2f,65.333427.2f,60.867132.2f,75.062253.2f,27.713152.2f,21.887745.2f,17.802057.2f,13.229252.2f,29.294480.2f,64.014137.2f,14.272916.2f,27.378166.2f,22.901045.2f,67.628069.2f,44.620376.2f,48.680332.2f,18.138430.2f,61.833343.2f,48.626208.2f,61.465436.2f,27.302230.2f
56.844388.2f,48.693906.2f,47.420580.2f,42.459545.2f,77.898672.2f,70.525594.2f,64.135930.2f,64.043054.2f,58.155062.2f,23.177940.2f,65.162923.2f,39.642106.2f,50.700298.2f,33.796284.2f,38.558007.2f,68.037014.2f,33.798063.2f,60.388327.2f,44.236035.2f,85.225067.2f,41.344579.2f,46.605630.2f,42.457150.2f,53.421094.2f,23.892919.2f,32.709516.2f,42.165412.2f,75.429779.2f,55.364121.2f,27.490718.2f,20.255123.2f,27.955232.2f,67.702286.2f,33.080480.2f,26.034117.2f,53.680181.2f,32.287188.2f,21.923741.2f,59.841920.2f,57.995261.2f,33.408277.2f,68.047915.2f,23.548543.2f,80.209710.2f,24.303444.2f,35.663909.2f,42.858684.2f,73.924152.2f,31.895522.2f,72.031815.2f
88.417136.2f,79.089656.2f,28.818250.2f,42.407706.2f,55.585764.2f,44.154351.2f,57.122610.2f,84.171688.2f,66.394070.2f,61.023194.2f,47.361269.2f,78.189863.2f,80.882215.2f,10.860291.2f,76.922849.2f,84.030333.2f,31.515745.2f,46.144572.2f,63.443186.2f,53.664504.2f,18.251538.2f,8.640894.2f,43.583110.2f,70.934914.2f,46.034154.2f,70.696528.2f,19.704377.2f,60.559657.2f,19.251000.2f,25.674447.2f,40.255187.2f,11.004833.2f,36.818222.2f,68.269486.2f,46.024984.2f,82.062227.2f,58.584806.2f,38.609259.2f,34.336615.2f,81.439572.2f,68.476080.2f,87.357454.2f,47.028478.2f,82.637744.2f,18.905619.2f,49.839156.2f,12.779084.2f,68.502049.2f,6.879336.2f,88.299223.2f
93.294683.2f,84.069998.2f,16.237211.2f,33.961783.2f,18.997605.2f,7.796380.2f,32.189344.2f,77.324431.2f,52.839399.2f,79.350763.2f,15.319891.2f,96.933132.2f,85.290044.2f,32.204767.2f,94.889228.2f,73.168132.2f,67.971761.2f,18.808603.2f,61.306527.2f,23.364073.2f,22.340376.2f,38.165185.2f,80.241068.2f,64.753734.2f,78.858358.2f,88.078853.2f,21.210221.2f,27.484975.2f,22.357793.2f,36.067793.2f,72.976675.2f,43.841663.2f,9.140109.2f,81.146393.2f,52.971049.2f,84.222170.2f,64.768751.2f,48.548294.2f,3.122534.2f,78.491686.2f,81.152151.2f,79.080595.2f,79.517281.2f,59.597965.2f,39.178531.2f,49.476337.2f,24.442298.2f,41.569816.2f,39.076724.2f,76.874462.2f
86.453137.2f,77.081027.2f,25.899551.2f,39.488385.2f,53.146046.2f,41.938774.2f,54.143199.2f,81.563793.2f,63.503458.2f,59.976743.2f,44.604840.2f,77.319730.2f,78.847134.2f,8.103673.2f,75.965480.2f,81.274299.2f,33.595027.2f,43.253518.2f,60.925821.2f,52.160688.2f,15.304198.2f,10.830388.2f,45.832373.2f,68.292615.2f,46.988277.2f,69.637298.2f,16.765579.2f,57.769495.2f,18.338489.2f,23.138353.2f,41.142738.2f,11.220085.2f,35.047105.2f,66.774618.2f,43.811591.2f,79.894796.2f,56.489053.2f,36.459610.2f,31.907734.2f,78.993713.2f,66.965824.2f,84.704528.2f,47.915061.2f,79.644400.2f,16.931892.2f,47.272254.2f,10.135213.2f,65.525802.2f,6.357223.2f,85.537656.2f
49.568564.2f,40.118867.2f,32.412633.2f,20.799385.2f,60.047593.2f,55.305222.2f,42.341082.2f,46.652853.2f,35.987182.2f,31.210110.2f,46.539419.2f,48.485862.2f,41.828345.2f,29.519549.2f,46.359778.2f,48.602345.2f,50.474945.2f,40.930690.2f,25.559783.2f,71.951242.2f,31.331102.2f,47.883450.2f,61.456730.2f,34.216472.2f,46.217797.2f,39.548827.2f,31.366121.2f,55.013595.2f,49.264677.2f,15.024636.2f,41.826328.2f,32.400567.2f,55.541593.2f,32.847217.2f,6.736488.2f,42.771536.2f,19.419563.2f,0.891383.2f,45.583158.2f,42.710546.2f,32.901531.2f,50.281239.2f,46.022143.2f,57.676342.2f,20.469186.2f,13.822940.2f,36.168010.2f,51.577982.2f,33.232481.2f,52.824842.2f
80.533119.2f,71.485964.2f,34.642955.2f,42.655641.2f,64.209252.2f,53.759758.2f,60.783117.2f,80.037719.2f,65.486995.2f,50.372503.2f,54.218786.2f,67.050306.2f,73.381251.2f,14.265475.2f,65.967986.2f,81.219209.2f,22.832194.2f,51.710464.2f,58.940889.2f,64.961381.2f,24.520715.2f,19.359237.2f,35.385415.2f,67.259870.2f,34.037189.2f,60.003919.2f,25.937341.2f,66.939784.2f,31.262549.2f,23.325500.2f,28.185589.2f,2.266027.2f,47.657554.2f,58.808842.2f,40.100226.2f,75.189514.2f,51.692101.2f,32.670150.2f,43.273895.2f,76.174461.2f,59.063372.2f,83.556961.2f,34.957287.2f,84.113824.2f,14.509228.2f,46.057537.2f,21.760921.2f,72.081744.2f,7.045989.2f,85.497686.2f
63.497790.2f,54.107211.2f,15.000081.2f,8.243707.2f,41.395669.2f,36.870539.2f,27.352783.2f,52.081876.2f,32.242038.2f,49.919409.2f,27.998701.2f,67.122061.2f,55.474891.2f,23.418417.2f,64.940239.2f,50.612429.2f,56.515114.2f,22.718039.2f,32.964931.2f,53.902966.2f,18.765940.2f,41.473748.2f,68.797403.2f,38.722781.2f,58.959526.2f,58.140621.2f,17.997380.2f,37.600458.2f,36.613487.2f,12.209076.2f,53.636467.2f,32.699148.2f,38.333560.2f,50.644580.2f,22.411869.2f,54.993451.2f,34.280536.2f,18.862077.2f,27.722344.2f,51.133706.2f,50.634569.2f,54.797112.2f,59.144733.2f,49.442932.2f,20.708411.2f,19.768325.2f,25.380743.2f,38.199670.2f,30.641781.2f,54.819431.2f
