39.190496.2f,60.720044.2f,10.441448.2f,57.254524.2f,58.999376.2f,55.476758.2f,22.530709.2f,28.257125.2f,54.401582.2f,55.122029.2f,66.860485.2f,27.609346.2f,53.375701.2f,33.756498.2f,9.175936.2f,10.806626.2f,30.071743.2f,40.315979.2f,51.400156.2f,59.992999.2f,69.378544.2f,14.923193.2f,43.599433.2f,19.493642.2f,35.358076.2f,46.767642.2f,20.314827.2f,58.742685.2f,61.132656.2f,29.087282.2f
53.703226.2f,37.818707.2f,17.308622.2f,33.238687.2f,59.532296.2f,52.960837.2f,38.992395.2f,52.894948.2f,52.276558.2f,31.219577.2f,41.480564.2f,30.284393.2f,36.245442.2f,8.642999.2f,16.227442.2f,17.179801.2f,6.094415.2f,49.767386.2f,69.389130.2f,37.407374.2f,45.130123.2f,31.449476.2f,46.195931.2f,44.874224.2f,56.901881.2f,32.623095.2f,29.000934.2f,36.568857.2f,59.745777.2f,54.156344.2f
16.958751.2f,105.930245.2f,64.630854.2f,84.288492.2f,31.299118.2f,37.483630.2f,33.625723.2f,62.372108.2f,36.589504.2f,98.615905.2f,101.469792.2f,83.753807.2f,65.781838.2f,76.543314.2f,59.497703.2f,54.993424.2f,75.220059.2f,19.830578.2f,15.358349.2f,105.771567.2f,111.000640.2f,41.590367.2f,29.222168.2f,52.328118.2f,30.066423.2f,58.317149.2f,40.461546.2f,105.203754.2f,35.971283.2f,59.572643.2f
81.447165.2f,21.866687.2f,50.960164.2f,13.441412.2f,74.274108.2f,65.874167.2f,69.691505.2f,86.796232.2f,65.812955.2f,16.292282.2f,7.642282.2f,56.712416.2f,34.691129.2f,26.061238.2f,50.309108.2f,50.488932.2f,30.187623.2f,74.504962.2f,98.284180.2f,22.929478.2f,19.405963.2f,63.330288.2f,66.116617.2f,78.961676.2f,88.759407.2f,38.843404.2f,58.278194.2f,24.124094.2f,72.314821.2f,88.196344.2f
50.630821.2f,79.195990.2f,65.137330.2f,46.562866.2f,22.066620.2f,15.470872.2f,52.733679.2f,87.935173.2f,16.516851.2f,71.734655.2f,65.042847.2f,84.269066.2f,25.192196.2f,57.466839.2f,59.620330.2f,54.891751.2f,59.333415.2f,40.260955.2f,64.824998.2f,79.754518.2f,79.200685.2f,53.838065.2f,28.004465.2f,75.999829.2f,67.601562.2f,23.816483.2f,45.603992.2f,80.154549.2f,17.787722.2f,86.940760.2f
11.504505.2f,81.147757.2f,36.388947.2f,65.873660.2f,37.917584.2f,37.952651.2f,5.185599.2f,39.442614.2f,36.724122.2f,74.290507.2f,80.711478.2f,55.314168.2f,52.492114.2f,51.568985.2f,31.553505.2f,27.502932.2f,49.437391.2f,14.922791.2f,26.007715.2f,80.776649.2f,87.697017.2f,13.289392.2f,24.105747.2f,27.719007.2f,17.408123.2f,44.367186.2f,14.887339.2f,79.949136.2f,41.466282.2f,37.573454.2f
82.453679.2f,9.371070.2f,41.156481.2f,32.440397.2f,83.941519.2f,76.246962.2f,67.782184.2f,75.407647.2f,75.855683.2f,6.279956.2f,25.084784.2f,39.498626.2f,49.561849.2f,20.994467.2f,43.062231.2f,45.480357.2f,22.791201.2f,77.878378.2f,98.225612.2f,8.690559.2f,19.161845.2f,60.076411.2f,72.533660.2f,70.074321.2f,85.233947.2f,50.611296.2f,57.766719.2f,7.731734.2f,83.085331.2f,77.508165.2f
88.902388.2f,14.840972.2f,54.600930.2f,22.644110.2f,83.281129.2f,74.930031.2f,76.275212.2f,90.231124.2f,74.833146.2f,12.209364.2f,7.212301.2f,57.040108.2f,43.949951.2f,30.205846.2f,54.879868.2f,55.827111.2f,33.861825.2f,82.458539.2f,105.567861.2f,16.169890.2f,10.148351.2f,69.443474.2f,74.611401.2f,83.337340.2f,95.026007.2f,47.901892.2f,65.113792.2f,17.789000.2f,81.427999.2f,91.932427.2f
70.598242.2f,60.491560.2f,65.837343.2f,25.928793.2f,48.629503.2f,40.561410.2f,66.574884.2f,96.801661.2f,41.184841.2f,53.946679.2f,41.953126.2f,80.897192.2f,16.010401.2f,48.254460.2f,61.750084.2f,58.545558.2f,51.722229.2f,60.736115.2f,86.783561.2f,61.419536.2f,57.473164.2f,64.225152.2f,48.642296.2f,85.831766.2f,84.741921.2f,23.523728.2f,56.123787.2f,62.359515.2f,44.899760.2f,96.793489.2f
37.777554.2f,53.950230.2f,24.346687.2f,37.207504.2f,41.439867.2f,35.426529.2f,26.029984.2f,52.211987.2f,34.620032.2f,46.645277.2f,51.596676.2f,43.787440.2f,28.581140.2f,24.751818.2f,18.944180.2f,14.611372.2f,24.099952.2f,32.228647.2f,54.416911.2f,53.811184.2f,59.352493.2f,20.944959.2f,27.797154.2f,41.409818.2f,45.332822.2f,21.694017.2f,14.441319.2f,53.296516.2f,42.045000.2f,52.278146.2f
2.487312.2f,91.334846.2f,47.057524.2f,73.992405.2f,35.495487.2f,37.944425.2f,15.805144.2f,45.461745.2f,36.756407.2f,84.339283.2f,89.717002.2f,65.684515.2f,58.538286.2f,61.712627.2f,42.264278.2f,38.167077.2f,59.791076.2f,12.613753.2f,16.118481.2f,91.016716.2f,97.499791.2f,23.979847.2f,24.952288.2f,34.677433.2f,15.764264.2f,50.461717.2f,24.783480.2f,90.251547.2f,39.737258.2f,42.989731.2f
