32.545752.2f,106.680115.2f,34.843114.2f,86.473532.2f,50.517773.2f,65.229286.2f,68.072271.2f,89.571393.2f,65.684431.2f,74.716738.2f
19.830179.2f,94.169743.2f,28.595531.2f,73.454012.2f,48.809332.2f,56.048496.2f,56.134143.2f,76.554595.2f,54.417537.2f,63.583836.2f
45.396383.2f,36.532640.2f,62.964477.2f,9.459009.2f,79.352889.2f,49.343017.2f,26.590709.2f,12.537437.2f,33.644975.2f,35.613785.2f
30.008870.2f,99.910959.2f,46.493625.2f,83.241119.2f,34.461493.2f,52.982408.2f,60.335658.2f,86.238566.2f,56.533751.2f,65.036559.2f
24.002945.2f,59.058013.2f,58.216728.2f,47.620670.2f,37.928854.2f,17.095415.2f,19.634721.2f,50.192044.2f,15.004146.2f,23.639166.2f
52.179963.2f,118.587744.2f,20.204808.2f,92.282196.2f,88.325007.2f,92.977049.2f,86.407745.2f,95.206191.2f,87.217885.2f,96.187294.2f
62.130490.2f,43.099123.2f,70.995429.2f,18.932263.2f,99.763136.2f,69.979092.2f,47.154049.2f,18.826417.2f,54.281198.2f,55.329221.2f
44.406223.2f,37.774884.2f,61.703018.2f,10.683908.2f,78.923483.2f,49.340385.2f,26.669597.2f,13.747288.2f,33.660954.2f,35.953655.2f
68.586751.2f,67.526337.2f,64.823461.2f,42.098825.2f,112.444527.2f,87.742587.2f,65.773072.2f,42.706942.2f,72.400232.2f,75.570703.2f
45.650971.2f,109.352343.2f,11.575007.2f,82.727778.2f,85.478418.2f,86.545035.2f,78.309882.2f,85.621629.2f,79.634009.2f,88.435058.2f
38.254201.2f,59.123436.2f,72.751701.2f,54.942799.2f,32.944677.2f,4.198877.2f,24.676004.2f,56.989962.2f,17.516737.2f,21.138934.2f
32.764952.2f,104.654823.2f,43.914322.2f,86.821548.2f,40.351387.2f,59.016590.2f,65.236433.2f,89.863602.2f,61.821288.2f,70.500418.2f
32.901272.2f,41.459666.2f,59.487009.2f,24.729863.2f,60.848040.2f,31.362241.2f,9.939853.2f,27.420916.2f,15.998192.2f,21.004530.2f
48.724244.2f,35.422575.2f,80.248210.2f,37.106657.2f,56.703735.2f,20.098229.2f,13.963041.2f,38.276693.2f,12.859769.2f,3.679349.2f
25.002445.2f,99.327760.2f,29.703059.2f,78.621433.2f,50.005459.2f,60.151447.2f,61.147117.2f,81.723609.2f,59.229392.2f,68.364345.2f
51.201865.2f,23.427924.2f,77.593068.2f,20.120303.2f,71.130139.2f,35.799315.2f,16.440097.2f,20.909555.2f,22.185779.2f,18.418132.2f
46.880096.2f,50.299669.2f,80.891930.2f,51.107708.2f,42.785542.2f,7.324176.2f,22.548029.2f,52.650362.2f,16.255349.2f,14.174508.2f
26.570525.2f,73.937204.2f,59.767421.2f,63.335312.2f,23.112098.2f,22.910168.2f,35.116694.2f,65.946876.2f,29.478768.2f,36.759738.2f
50.152738.2f,41.713921.2f,62.324608.2f,13.339054.2f,87.553669.2f,58.789605.2f,36.159942.2f,15.291898.2f,43.127834.2f,45.336335.2f
32.386635.2f,105.844849.2f,22.247171.2f,83.034525.2f,61.693438.2f,70.621680.2f,69.112247.2f,86.137927.2f,68.094023.2f,77.295695.2f
32.754107.2f,84.236495.2f,62.992978.2f,73.996910.2f,14.380318.2f,31.136484.2f,45.741028.2f,76.627878.2f,39.881978.2f,46.638318.2f
36.338325.2f,102.389283.2f,4.716992.2f,76.598926.2f,76.305950.2f,77.257588.2f,69.891852.2f,79.583080.2f,70.840444.2f,79.756240.2f
51.908760.2f,121.473121.2f,24.029826.2f,96.042044.2f,84.118399.2f,92.020352.2f,87.539866.2f,99.040491.2f,87.658172.2f,96.778407.2f
32.268204.2f,84.025432.2f,17.068177.2f,56.843297.2f,78.993108.2f,69.515454.2f,56.457077.2f,59.684172.2f,59.339136.2f,67.347988.2f
45.607688.2f,84.374916.2f,28.945962.2f,55.976450.2f,92.729974.2f,79.452336.2f,63.162119.2f,58.399288.2f,67.361032.2f,74.351678.2f
55.819071.2f,52.254893.2f,60.689396.2f,25.023154.2f,96.952735.2f,70.333962.2f,48.073207.2f,26.186387.2f,54.833429.2f,57.700906.2f
47.999222.2f,91.454091.2f,77.786553.2f,85.172743.2f,1.640451.2f,35.970890.2f,55.447602.2f,87.564766.2f,48.722441.2f,53.488247.2f
9.584898.2f,80.530104.2f,24.941691.2f,58.118698.2f,54.497594.2f,50.472838.2f,44.613713.2f,61.228340.2f,44.632942.2f,53.730013.2f
67.638032.2f,21.687846.2f,85.148766.2f,13.474205.2f,96.207044.2f,61.909507.2f,40.505768.2f,10.365019.2f,47.317811.2f,44.735460.2f
9.112048.2f,67.216855.2f,35.537283.2f,45.692015.2f,53.688319.2f,40.933998.2f,31.668073.2f,48.788201.2f,32.537700.2f,41.386067.2f
59.273616.2f,58.735374.2f,60.165566.2f,31.930290.2f,101.977578.2f,76.581176.2f,54.580482.2f,32.949986.2f,61.212261.2f,64.428185.2f
33.292607.2f,87.150447.2f,14.191690.2f,60.026884.2f,79.555120.2f,71.468528.2f,59.067206.2f,62.872957.2f,61.726583.2f,69.874988.2f
15.997063.2f,66.978310.2f,32.231008.2f,42.951001.2f,61.808743.2f,47.485953.2f,34.889069.2f,46.052078.2f,37.218827.2f,45.486825.2f
43.680699.2f,96.804408.2f,15.169338.2f,69.069982.2f,88.945597.2f,82.554704.2f,70.105966.2f,71.775012.2f,72.879993.2f,80.972993.2f
40.101224.2f,34.464100.2f,65.051047.2f,18.294431.2f,67.010761.2f,35.203122.2f,12.368837.2f,20.720486.2f,19.527355.2f,21.407992.2f
26.142027.2f,76.355737.2f,22.584624.2f,49.766552.2f,73.275916.2f,61.508179.2f,48.007615.2f,52.705457.2f,50.958643.2f,58.909004.2f
64.935572.2f,91.970151.2f,46.091558.2f,63.818751.2f,112.057958.2f,96.377836.2f,77.926639.2f,65.559550.2f,83.053841.2f,89.006712.2f
37.551360.2f,40.391102.2f,57.999812.2f,16.722932.2f,71.259637.2f,42.569165.2f,20.422412.2f,19.796748.2f,27.061067.2f,30.693572.2f
68.649455.2f,16.852459.2f,87.854203.2f,15.563716.2f,94.922624.2f,59.915301.2f,39.339688.2f,12.612290.2f,45.867512.2f,42.426102.2f
4.100252.2f,70.298891.2f,36.502062.2f,50.229249.2f,48.371288.2f,38.815416.2f,33.003609.2f,53.296347.2f,32.606727.2f,41.741144.2f
56.224243.2f,72.906270.2f,48.542636.2f,44.854453.2f,102.119356.2f,81.716124.2f,61.559397.2f,46.518401.2f,67.352759.2f,72.344904.2f
40.268517.2f,56.702644.2f,46.428235.2f,28.360781.2f,83.359511.2f,60.490157.2f,40.161641.2f,30.894231.2f,45.947858.2f,51.025266.2f
26.430963.2f,100.368138.2f,34.069539.2f,80.584835.2f,46.522916.2f,59.027345.2f,61.662939.2f,83.673046.2f,59.250284.2f,68.287651.2f
15.224986.2f,88.070605.2f,22.003979.2f,65.704483.2f,54.710143.2f,55.514999.2f,51.629433.2f,68.813951.2f,51.124420.2f,60.299977.2f
29.663647.2f,101.746469.2f,41.967915.2f,83.740914.2f,39.983648.2f,56.797922.2f,62.389924.2f,86.785750.2f,59.115731.2f,67.866948.2f
25.773657.2f,48.811166.2f,55.111455.2f,32.684678.2f,53.565040.2f,27.342769.2f,11.659690.2f,35.453828.2f,14.143428.2f,22.039066.2f
19.354716.2f,75.166057.2f,52.156773.2f,61.682395.2f,28.373971.2f,28.177202.2f,35.598297.2f,64.472943.2f,31.127725.2f,39.443177.2f
22.516299.2f,52.679172.2f,53.503628.2f,37.024593.2f,49.592740.2f,25.618156.2f,14.225643.2f,39.806081.2f,14.609701.2f,23.392911.2f
29.399529.2f,98.098678.2f,48.013956.2f,82.011764.2f,31.894832.2f,50.506416.2f,58.484076.2f,84.984029.2f,54.482043.2f,62.878610.2f
54.049609.2f,29.929263.2f,71.382715.2f,1.564132.2f,85.862629.2f,53.797798.2f,31.110918.2f,3.890554.2f,38.282145.2f,38.224565.2f
