68.268838.2f,33.280304.2f,30.089614.2f,32.544729.2f,81.185476.2f,80.437754.2f,23.490172.2f,71.082969.2f,27.410087.2f,56.874772.2f,24.020154.2f,69.836759.2f,24.495799.2f,58.383746.2f,37.989236.2f,59.263533.2f,67.140515.2f,71.598712.2f,46.865163.2f,61.969452.2f
5.932447.2f,48.642344.2f,62.098601.2f,39.972298.2f,15.501477.2f,12.204416.2f,49.041660.2f,31.921590.2f,61.780806.2f,57.238759.2f,51.630171.2f,5.805308.2f,43.739979.2f,65.646691.2f,33.353988.2f,32.026817.2f,10.273571.2f,76.063128.2f,33.852775.2f,8.837422.2f
56.444784.2f,45.780334.2f,49.779568.2f,19.094295.2f,67.911971.2f,70.011234.2f,34.408601.2f,50.504545.2f,47.251778.2f,30.610200.2f,8.858355.2f,62.254840.2f,24.806441.2f,32.086462.2f,39.766436.2f,63.142714.2f,53.778569.2f,45.584423.2f,27.822757.2f,55.442832.2f
67.767005.2f,99.681329.2f,109.044949.2f,65.706318.2f,67.973836.2f,76.390989.2f,91.197096.2f,41.739927.2f,107.044411.2f,34.856538.2f,68.630015.2f,79.437178.2f,79.250609.2f,35.458635.2f,85.259411.2f,100.489892.2f,63.373503.2f,27.682097.2f,53.374675.2f,78.759114.2f
67.258006.2f,78.074939.2f,84.008939.2f,44.338883.2f,74.133317.2f,79.974039.2f,67.417311.2f,47.358918.2f,81.579704.2f,14.838869.2f,41.253427.2f,77.210272.2f,56.087637.2f,6.308784.2f,67.711162.2f,88.735736.2f,63.078421.2f,11.241990.2f,39.530191.2f,72.956891.2f
101.506312.2f,76.061207.2f,71.692548.2f,63.319056.2f,113.172103.2f,114.952201.2f,65.754026.2f,94.313919.2f,69.144376.2f,66.351843.2f,51.652361.2f,106.347692.2f,62.756780.2f,62.018605.2f,78.323716.2f,101.056861.2f,98.999310.2f,69.602906.2f,72.962589.2f,99.020249.2f
75.795699.2f,55.644548.2f,54.938425.2f,37.711413.2f,87.458939.2f,89.270822.2f,44.366339.2f,69.495824.2f,52.240898.2f,44.623972.2f,26.108844.2f,80.913324.2f,38.795181.2f,42.586418.2f,54.634266.2f,77.983015.2f,73.275711.2f,53.582191.2f,47.397113.2f,73.741168.2f
45.982758.2f,20.583281.2f,27.678925.2f,15.738105.2f,59.016682.2f,57.814910.2f,10.002990.2f,52.786219.2f,25.660494.2f,48.653932.2f,16.999247.2f,47.127243.2f,2.390967.2f,53.339612.2f,16.422626.2f,39.578230.2f,45.268920.2f,67.287463.2f,29.774084.2f,39.269051.2f
38.468274.2f,18.970427.2f,29.666585.2f,16.295667.2f,51.547110.2f,49.758558.2f,12.661647.2f,48.466473.2f,28.263720.2f,49.898162.2f,22.513539.2f,38.772824.2f,7.511422.2f,55.672799.2f,8.485901.2f,31.996028.2f,38.236501.2f,69.432098.2f,27.514911.2f,30.873294.2f
90.239746.2f,67.924074.2f,65.219592.2f,52.232162.2f,101.763848.2f,103.747832.2f,57.069608.2f,82.733373.2f,62.571158.2f,55.222590.2f,40.633611.2f,95.436805.2f,52.765961.2f,51.393872.2f,68.538152.2f,91.666927.2f,87.635538.2f,60.030941.2f,61.448833.2f,88.243258.2f
69.832652.2f,21.905085.2f,12.037153.2f,41.941996.2f,82.833765.2f,79.897143.2f,19.366228.2f,79.461332.2f,9.887694.2f,72.405449.2f,38.157187.2f,68.001245.2f,29.105030.2f,75.393463.2f,34.744443.2f,49.870800.2f,69.997578.2f,89.107474.2f,56.388097.2f,60.206883.2f
46.982691.2f,76.714434.2f,86.522948.2f,43.275893.2f,50.029126.2f,57.493497.2f,68.641358.2f,22.011827.2f,84.633399.2f,18.109107.2f,47.815898.2f,58.428640.2f,56.790405.2f,23.975081.2f,62.094135.2f,77.698438.2f,42.498706.2f,27.003454.2f,30.296077.2f,56.755647.2f
65.468037.2f,91.623045.2f,100.117710.2f,57.069943.2f,68.002394.2f,75.750652.2f,82.431994.2f,40.204434.2f,97.981862.2f,24.338462.2f,58.587524.2f,76.908243.2f,70.466685.2f,23.657659.2f,78.137028.2f,95.346571.2f,60.984298.2f,15.973709.2f,46.228272.2f,75.050275.2f
4.748167.2f,53.779151.2f,66.919972.2f,37.421564.2f,13.165217.2f,16.557399.2f,51.938888.2f,21.296619.2f,66.205355.2f,48.674977.2f,48.935458.2f,16.423726.2f,44.387909.2f,57.194445.2f,37.484527.2f,41.360657.2f,1.306509.2f,66.743759.2f,27.808650.2f,17.596978.2f
59.693175.2f,85.665098.2f,94.368682.2f,51.197393.2f,62.765260.2f,70.301153.2f,76.624631.2f,34.792269.2f,92.271859.2f,19.186912.2f,53.228435.2f,71.058735.2f,64.651803.2f,20.198223.2f,72.041654.2f,89.203430.2f,55.209538.2f,16.531362.2f,40.106118.2f,69.032425.2f
42.078292.2f,15.906122.2f,25.922409.2f,18.797872.2f,55.149451.2f,53.067908.2f,8.786720.2f,52.293171.2f,24.447227.2f,52.523368.2f,23.189926.2f,41.823242.2f,7.149825.2f,57.938647.2f,9.595874.2f,32.535157.2f,41.982281.2f,71.795759.2f,30.965789.2f,33.895655.2f
57.662097.2f,88.360956.2f,97.853042.2f,54.513661.2f,59.149859.2f,67.188198.2f,79.987367.2f,31.839108.2f,95.887596.2f,25.031850.2f,57.963139.2f,69.266524.2f,68.062418.2f,27.559484.2f,73.917343.2f,89.445676.2f,53.208372.2f,24.137550.2f,42.030396.2f,68.109984.2f
64.498670.2f,88.289967.2f,96.447586.2f,53.634211.2f,67.910245.2f,75.344348.2f,78.855303.2f,39.896316.2f,94.265863.2f,20.371063.2f,54.591609.2f,75.766251.2f,66.916393.2f,19.095626.2f,75.201465.2f,93.111027.2f,60.021037.2f,12.080244.2f,43.496304.2f,73.461101.2f
58.840215.2f,82.044584.2f,90.378210.2f,47.422603.2f,62.924587.2f,70.070634.2f,72.723805.2f,34.902615.2f,88.229455.2f,14.606024.2f,48.830011.2f,69.973678.2f,60.767324.2f,15.313051.2f,68.866876.2f,86.834088.2f,54.379797.2f,13.847117.2f,37.158262.2f,67.428971.2f
