27.428952.2f,88.165588.2f,85.141456.2f,41.508351.2f,28.785619.2f,59.947306.2f,34.178872.2f,27.246858.2f,34.025017.2f,48.100000.2f,80.593223.2f,77.255974.2f,45.896145.2f,34.549131.2f,90.142362.2f,82.749808.2f,44.834160.2f,63.816142.2f,58.288019.2f,42.110726.2f,71.368601.2f,80.607752.2f,38.563740.2f,58.338577.2f,56.613085.2f,30.659143.2f,29.120411.2f,23.280694.2f,47.979278.2f,79.604678.2f,70.797454.2f,98.699190.2f,62.568106.2f,102.818617.2f,104.714656.2f,69.075553.2f,106.196931.2f,93.052404.2f,42.025456.2f,51.164303.2f
34.395849.2f,80.863641.2f,76.120744.2f,32.493301.2f,20.695388.2f,50.924501.2f,25.971796.2f,20.626637.2f,28.168224.2f,40.545528.2f,77.878577.2f,68.515852.2f,36.924002.2f,25.868579.2f,81.214026.2f,73.891712.2f,40.600835.2f,60.694690.2f,49.402725.2f,33.233373.2f,66.077613.2f,71.585358.2f,31.933470.2f,55.737882.2f,48.150753.2f,22.418305.2f,21.422399.2f,17.802655.2f,39.958309.2f,74.089919.2f,66.023812.2f,89.797292.2f,55.269655.2f,94.293146.2f,96.618571.2f,61.464281.2f,97.431637.2f,84.238046.2f,37.874790.2f,42.231976.2f
96.522587.2f,94.040868.2f,54.699681.2f,46.330141.2f,42.324520.2f,41.507876.2f,37.829042.2f,67.016662.2f,72.485335.2f,68.006682.2f,120.952734.2f,31.934874.2f,39.163617.2f,40.344047.2f,65.184978.2f,63.572119.2f,85.585139.2f,104.846406.2f,52.151952.2f,38.155279.2f,98.673193.2f,48.119037.2f,30.682491.2f,102.735864.2f,24.495989.2f,41.091582.2f,41.126138.2f,46.107872.2f,63.642602.2f,103.408151.2f,101.517142.2f,72.291936.2f,8.420744.2f,86.436316.2f,95.936900.2f,77.789925.2f,82.819221.2f,71.685496.2f,84.077593.2f,49.459519.2f
57.249285.2f,44.507762.2f,51.094126.2f,20.687777.2f,34.795331.2f,32.360824.2f,35.064249.2f,16.940953.2f,13.203657.2f,4.249164.2f,54.108620.2f,54.909615.2f,27.793884.2f,30.658812.2f,52.319890.2f,44.125449.2f,20.296364.2f,37.963650.2f,23.444538.2f,29.174235.2f,34.100154.2f,49.178800.2f,46.493266.2f,36.424896.2f,43.308420.2f,34.079291.2f,37.075902.2f,43.436999.2f,6.127055.2f,40.893233.2f,35.872263.2f,59.994743.2f,58.517379.2f,60.623324.2f,61.174330.2f,25.219534.2f,65.583200.2f,53.334025.2f,19.861532.2f,20.156346.2f
85.911444.2f,46.692628.2f,91.601704.2f,80.357453.2f,93.789062.2f,86.096403.2f,94.814584.2f,68.389881.2f,60.539980.2f,58.052158.2f,12.915517.2f,106.467367.2f,86.857394.2f,90.511476.2f,85.614591.2f,79.177754.2f,47.025954.2f,27.355470.2f,74.928570.2f,88.925803.2f,27.126856.2f,93.814015.2f,106.240146.2f,33.269922.2f,101.297800.2f,93.416322.2f,96.050447.2f,100.593954.2f,62.224166.2f,24.580194.2f,24.240947.2f,88.351712.2f,117.398894.2f,76.615457.2f,67.016175.2f,51.271745.2f,86.281882.2f,81.553966.2f,49.710798.2f,76.307266.2f
105.924994.2f,13.782316.2f,38.998833.2f,58.490349.2f,77.893722.2f,49.566568.2f,75.292227.2f,67.264254.2f,62.272461.2f,46.092388.2f,65.237543.2f,60.597816.2f,60.183426.2f,71.113501.2f,29.627839.2f,26.882357.2f,59.804796.2f,60.459960.2f,41.902734.2f,64.581506.2f,41.755805.2f,44.042794.2f,84.734196.2f,64.518522.2f,67.252620.2f,76.308504.2f,79.843777.2f,88.572010.2f,46.044992.2f,37.844467.2f,46.423518.2f,29.354195.2f,82.765092.2f,16.377145.2f,10.946655.2f,25.557118.2f,25.949430.2f,23.705110.2f,61.662121.2f,48.480040.2f
99.778039.2f,9.122639.2f,39.866751.2f,54.186778.2f,73.486945.2f,46.985745.2f,71.190867.2f,61.540484.2f,56.308829.2f,40.395219.2f,59.772324.2f,60.187514.2f,56.508782.2f,66.904420.2f,31.542613.2f,27.177497.2f,53.493490.2f,54.317480.2f,38.358381.2f,60.751625.2f,35.745701.2f,44.192583.2f,81.027977.2f,58.263115.2f,64.814151.2f,71.985524.2f,75.504799.2f,84.005259.2f,40.672397.2f,32.385430.2f,40.450367.2f,32.887715.2f,80.724474.2f,21.969937.2f,17.134643.2f,19.583215.2f,31.059822.2f,26.444354.2f,55.380634.2f,44.506299.2f
75.702770.2f,82.490617.2f,52.975043.2f,28.235645.2f,21.115661.2f,31.389991.2f,16.692567.2f,46.385078.2f,52.395361.2f,50.555641.2f,102.633931.2f,35.191900.2f,22.448604.2f,19.648581.2f,62.127727.2f,57.935820.2f,65.990384.2f,85.971295.2f,39.530013.2f,19.672753.2f,82.071512.2f,46.530576.2f,10.817604.2f,83.289153.2f,15.189786.2f,19.886152.2f,20.001346.2f,26.102980.2f,46.556244.2f,87.791646.2f,84.354457.2f,70.455472.2f,13.907147.2f,81.664518.2f,89.061859.2f,64.195060.2f,80.476644.2f,67.737238.2f,64.241331.2f,34.533024.2f
74.167445.2f,26.458268.2f,42.228138.2f,31.902915.2f,50.021233.2f,33.223293.2f,48.822640.2f,35.265839.2f,30.212464.2f,14.162642.2f,51.088589.2f,53.724211.2f,36.619145.2f,44.314017.2f,39.993420.2f,31.904627.2f,30.007485.2f,38.826132.2f,22.061921.2f,39.906059.2f,25.998659.2f,42.715898.2f,59.725511.2f,40.315100.2f,49.351457.2f,48.833911.2f,52.207683.2f,59.854093.2f,15.170265.2f,29.631790.2f,29.812166.2f,46.303943.2f,65.783556.2f,43.735454.2f,43.020383.2f,6.826278.2f,49.986102.2f,39.127346.2f,31.261963.2f,24.720751.2f
66.178334.2f,30.896790.2f,56.873037.2f,39.401959.2f,54.508874.2f,45.823532.2f,54.729826.2f,32.858378.2f,25.626176.2f,17.115201.2f,37.336320.2f,67.383127.2f,45.733819.2f,50.283083.2f,54.264975.2f,46.313317.2f,18.969081.2f,24.186224.2f,34.833768.2f,47.960838.2f,14.475698.2f,57.244840.2f,66.136462.2f,25.877215.2f,60.243188.2f,53.810394.2f,56.791084.2f,62.817292.2f,21.121803.2f,21.246284.2f,16.939787.2f,60.043065.2f,76.269933.2f,55.156072.2f,51.751394.2f,17.516081.2f,62.552733.2f,52.775588.2f,21.125089.2f,35.315218.2f
65.575242.2f,71.686850.2f,49.885118.2f,15.141046.2f,11.224141.2f,24.960130.2f,5.879661.2f,32.811841.2f,38.540062.2f,37.194292.2f,88.801515.2f,37.745528.2f,11.548706.2f,6.254342.2f,57.469121.2f,51.796152.2f,52.070470.2f,72.073146.2f,29.819851.2f,7.211517.2f,68.783081.2f,44.178256.2f,13.092826.2f,69.366663.2f,16.761977.2f,9.239919.2f,11.653649.2f,20.964602.2f,33.436171.2f,74.863962.2f,70.856588.2f,66.160288.2f,26.065333.2f,75.022030.2f,80.898847.2f,52.604444.2f,75.437769.2f,62.178769.2f,50.344266.2f,23.473074.2f
